Num	Time
4	0.005129
5	0.005863
6	0.005192
7	0.004304
8	0.004069
9	0.006325
10	0.005098
11	0.005443
12	0.005756
13	0.005717
14	0.003848
15	0.003985
16	0.003919
17	0.004742
18	0.004518
19	0.004996
20	0.009168
21	0.005525
22	0.005572
23	0.004044
24	0.005011
25	0.005290
26	0.005318
27	0.004924
28	0.004924
29	0.004742
30	0.004754
31	0.004714
32	0.004888
33	0.005686
34	0.004857
35	0.005621
36	0.005069
37	0.004133
38	0.004683
39	0.004758
40	0.004929
1	0.018384
2	0.010110
3	0.006873
4	0.005306
5	0.006150
6	0.005251
7	0.005249
8	0.005142
9	0.004682
10	0.009668
11	0.013329
12	0.005542
13	0.004205
14	0.004626
15	0.005301
16	0.004608
17	0.004891
18	0.005090
19	0.005429
20	0.004109
21	0.006469
22	0.004255
23	0.004974
24	0.004482
25	0.005887
26	0.005090
27	0.005977
28	0.005171
29	0.005336
30	0.004832
31	0.005047
32	0.012202
33	0.005417
34	0.004086
35	0.007853
36	0.004703
37	0.004841
38	0.007281
39	0.004555
40	0.005415
1	0.019327
2	0.009521
3	0.006250
4	0.005339
5	0.006132
6	0.005099
7	0.004779
8	0.004131
9	0.005948
10	0.004280
11	0.006213
12	0.004525
13	0.006837
14	0.004915
15	0.004944
16	0.004182
17	0.005124
18	0.004551
19	0.004562
20	0.005369
21	0.006106
22	0.005394
23	0.003792
24	0.004224
25	0.004794
26	0.005540
27	0.005585
28	0.005313
29	0.007404
30	0.004793
31	0.004849
32	0.004702
33	0.004658
34	0.004284
35	0.005579
36	0.004775
37	0.006941
38	0.006823
39	0.005230
40	0.005892
